neighbourhood_cleansed,price,review_scores_rating,review_scores_location
Adams,130.71929824561403,95.35087719298245,9.87719298245614
Alki,153.75,95.89285714285714,9.892857142857142
Arbor Heights,118.0,98.0,8.666666666666666
Atlantic,110.83333333333333,95.33333333333333,9.095238095238095
Belltown,162.30541871921181,93.47783251231527,9.817733990147783
Bitter Lake,81.66666666666667,94.91666666666667,9.5
Briarcliff,183.58333333333334,92.75,9.75
Brighton,79.18181818181819,95.27272727272727,9.090909090909092
Broadview,89.1875,96.375,9.3125
Broadway,122.55140186915888,93.82866043613707,9.83177570093458
Bryant,108.48,95.24,9.64
Cedar Park,115.16666666666667,93.66666666666667,8.833333333333334
Central Business District,163.34831460674158,94.84269662921348,9.853932584269662
Columbia City,94.25490196078431,95.15686274509804,8.980392156862745
Crown Hill,83.6470588235294,94.82352941176471,9.117647058823529
Dunlap,88.53333333333333,95.13333333333334,8.666666666666666
East Queen Anne,170.64285714285714,95.91428571428571,9.642857142857142
Eastlake,126.72222222222223,92.22222222222223,9.527777777777779
Fairmount Park,108.46153846153847,95.46153846153847,9.5
Fauntleroy,173.44444444444446,96.11111111111111,9.88888888888889
First Hill,136.84444444444443,94.33333333333333,9.8
Fremont,131.12686567164178,95.80597014925372,9.85820895522388
Gatewood,109.0625,95.5,9.75
Genesee,113.06666666666666,96.93333333333334,9.866666666666667
Georgetown,76.125,93.875,9.125
Green Lake,138.27272727272728,95.13636363636364,9.863636363636363
Greenwood,101.33333333333333,93.07575757575758,9.348484848484848
Haller Lake,106.36363636363636,92.54545454545455,9.090909090909092
Harrison/Denny-Blaine,116.66666666666667,97.08333333333333,9.666666666666666
High Point,89.45454545454545,94.9090909090909,9.181818181818182
Highland Park,90.55555555555556,94.77777777777777,8.444444444444445
Holly Park,114.5,92.0,8.5
Industrial District,187.5,92.75,8.75
Interbay,89.66666666666667,93.77777777777777,9.11111111111111
International District,103.6923076923077,94.61538461538461,9.076923076923077
Laurelhurst,98.22222222222223,96.77777777777777,9.88888888888889
Lawton Park,149.28571428571428,92.0952380952381,9.428571428571429
Leschi,132.91304347826087,96.32608695652173,9.347826086956522
Lower Queen Anne,138.58904109589042,95.17808219178082,9.876712328767123
Loyal Heights,103.32558139534883,95.3953488372093,9.720930232558139
Madison Park,123.07142857142857,94.5,9.785714285714286
Madrona,151.8,97.1,9.775
Mann,120.52727272727273,95.14545454545454,9.309090909090909
Maple Leaf,83.30555555555556,95.27777777777777,9.416666666666666
Matthews Beach,114.33333333333333,94.8,9.666666666666666
Meadowbrook,92.71428571428571,96.14285714285714,9.428571428571429
Mid-Beacon Hill,80.71428571428571,94.28571428571429,9.035714285714286
Minor,123.88709677419355,96.04838709677419,9.64516129032258
Montlake,182.375,95.4375,9.6875
Mount Baker,99.0,93.78571428571429,9.30952380952381
North Admiral,138.76923076923077,95.35897435897436,9.846153846153847
North Beach/Blue Ridge,131.0909090909091,96.9090909090909,9.636363636363637
North Beacon Hill,89.94202898550725,94.15942028985508,9.18840579710145
North College Park,87.28571428571429,96.42857142857143,9.642857142857142
North Delridge,74.4,96.6,9.52
North Queen Anne,149.82978723404256,94.97872340425532,9.702127659574469
Olympic Hills,73.35714285714286,92.57142857142857,8.928571428571429
Phinney Ridge,122.96551724137932,95.32758620689656,9.724137931034482
Pike-Market,152.6086956521739,92.65217391304348,9.91304347826087
Pinehurst,117.25,89.25,8.5
Pioneer Square,174.0,92.63636363636364,9.318181818181818
Portage Bay,227.85714285714286,94.85714285714286,9.642857142857142
Rainier Beach,62.93333333333333,95.13333333333334,8.933333333333334
Ravenna,90.56603773584905,91.45283018867924,9.39622641509434
Riverview,80.5,97.25,9.125
Roosevelt,136.63636363636363,94.63636363636364,9.318181818181818
Roxhill,92.5,93.0,9.5
Seaview,118.9090909090909,95.36363636363636,9.727272727272727
Seward Park,108.1025641025641,95.02564102564102,9.282051282051283
South Beacon Hill,117.5,89.5,8.0
South Delridge,80.1,95.5,9.1
South Lake Union,145.10526315789474,90.78947368421052,9.631578947368421
South Park,105.0,88.0,8.0
Southeast Magnolia,242.57142857142858,97.21428571428571,9.785714285714286
Stevens,129.91489361702128,94.97872340425532,9.851063829787234
Sunset Hill,170.93333333333334,96.13333333333334,9.866666666666667
University District,98.02105263157895,88.52631578947368,9.25263157894737
Victory Heights,84.42857142857143,95.14285714285714,9.285714285714286
View Ridge,137.16666666666666,90.16666666666667,9.666666666666666
Wallingford,124.82758620689656,94.26206896551724,9.772413793103448
Wedgwood,99.53846153846153,94.38461538461539,9.307692307692308
West Queen Anne,190.65454545454546,95.50909090909092,9.763636363636364
West Woodland,120.75925925925925,95.16666666666667,9.648148148148149
Westlake,212.8,96.5,9.6
Whittier Heights,120.20833333333333,96.66666666666667,9.791666666666666
Windermere,166.71428571428572,95.85714285714286,9.857142857142858
Yesler Terrace,116.5,96.1875,9.5
