neighbourhood_cleansed,price,review_scores_rating,price_category,review_scores_rating_category
Adams,130.71929824561403,95.35087719298245,2.0,2.0
Alki,153.75,95.89285714285714,2.0,2.0
Arbor Heights,118.0,98.0,2.0,3.0
Atlantic,110.83333333333333,95.33333333333333,2.0,2.0
Belltown,162.30541871921181,93.47783251231527,3.0,2.0
Bitter Lake,81.66666666666667,94.91666666666667,1.0,2.0
Briarcliff,183.58333333333334,92.75,3.0,2.0
Brighton,79.18181818181819,95.27272727272727,1.0,2.0
Broadview,89.1875,96.375,2.0,2.0
Broadway,122.55140186915888,93.82866043613707,2.0,2.0
Bryant,108.48,95.24,2.0,2.0
Cedar Park,115.16666666666667,93.66666666666667,2.0,2.0
Central Business District,163.34831460674158,94.84269662921348,3.0,2.0
Columbia City,94.25490196078431,95.15686274509804,2.0,2.0
Crown Hill,85.61111111111111,95.11111111111111,1.0,2.0
Dunlap,88.53333333333333,95.13333333333334,2.0,2.0
East Queen Anne,169.85915492957747,95.97183098591549,3.0,2.0
Eastlake,126.72222222222223,92.22222222222223,2.0,1.0
Fairmount Park,108.46153846153847,95.46153846153847,2.0,2.0
Fauntleroy,173.44444444444446,96.11111111111111,3.0,2.0
First Hill,136.84444444444443,94.33333333333333,2.0,2.0
Fremont,131.12686567164178,95.80597014925372,2.0,2.0
Gatewood,109.0625,95.5,2.0,2.0
Genesee,113.06666666666666,96.93333333333334,2.0,3.0
Georgetown,76.125,93.875,1.0,2.0
Green Lake,138.27272727272728,95.13636363636364,2.0,2.0
Greenwood,100.41176470588235,93.27941176470588,2.0,2.0
Haller Lake,106.36363636363636,92.54545454545455,2.0,1.0
Harrison/Denny-Blaine,116.66666666666667,97.08333333333333,2.0,3.0
High Point,89.45454545454545,94.9090909090909,2.0,2.0
Highland Park,90.55555555555556,94.77777777777777,2.0,2.0
Holly Park,114.5,92.0,2.0,1.0
Industrial District,187.5,92.75,3.0,2.0
Interbay,89.66666666666667,93.77777777777777,2.0,2.0
International District,103.6923076923077,94.61538461538461,2.0,2.0
Laurelhurst,98.22222222222223,96.77777777777777,2.0,3.0
Lawton Park,149.28571428571428,92.0952380952381,2.0,1.0
Leschi,132.91304347826087,96.32608695652173,2.0,2.0
Lower Queen Anne,138.58904109589042,95.17808219178082,2.0,2.0
Loyal Heights,103.32558139534883,95.3953488372093,2.0,2.0
Madison Park,123.07142857142857,94.5,2.0,2.0
Madrona,151.8,97.1,2.0,3.0
Mann,120.52727272727273,95.14545454545454,2.0,2.0
Maple Leaf,83.30555555555556,95.27777777777777,1.0,2.0
Matthews Beach,114.33333333333333,94.8,2.0,2.0
Meadowbrook,92.71428571428571,96.14285714285714,2.0,2.0
Mid-Beacon Hill,80.71428571428571,94.28571428571429,1.0,2.0
Minor,123.88709677419355,96.04838709677419,2.0,2.0
Montlake,182.375,95.4375,3.0,2.0
Mount Baker,99.0,93.78571428571429,2.0,2.0
North Admiral,138.76923076923077,95.35897435897436,2.0,2.0
North Beach/Blue Ridge,131.0909090909091,96.9090909090909,2.0,3.0
North Beacon Hill,89.94202898550725,94.15942028985508,2.0,2.0
North College Park,87.28571428571429,96.42857142857143,2.0,2.0
North Delridge,74.4,96.6,1.0,3.0
North Queen Anne,149.82978723404256,94.97872340425532,2.0,2.0
Olympic Hills,73.35714285714286,92.57142857142857,1.0,1.0
Phinney Ridge,122.96551724137932,95.32758620689656,2.0,2.0
Pike-Market,152.6086956521739,92.65217391304348,2.0,2.0
Pinehurst,117.25,89.25,2.0,1.0
Pioneer Square,174.0,92.63636363636364,3.0,2.0
Portage Bay,227.85714285714286,94.85714285714286,3.0,2.0
Rainier Beach,62.93333333333333,95.13333333333334,1.0,2.0
Ravenna,89.61111111111111,91.24074074074075,2.0,1.0
Riverview,80.5,97.25,1.0,3.0
Roosevelt,136.63636363636363,94.63636363636364,2.0,2.0
Roxhill,92.5,93.0,2.0,2.0
Seaview,118.9090909090909,95.36363636363636,2.0,2.0
Seward Park,108.1025641025641,95.02564102564102,2.0,2.0
South Beacon Hill,117.5,89.5,2.0,1.0
South Delridge,80.1,95.5,1.0,2.0
South Lake Union,145.10526315789474,90.78947368421052,2.0,1.0
South Park,105.0,88.0,2.0,1.0
Southeast Magnolia,242.57142857142858,97.21428571428571,3.0,3.0
Stevens,128.77894736842106,95.03157894736842,2.0,2.0
Sunset Hill,170.93333333333334,96.13333333333334,3.0,2.0
University District,97.3125,88.4375,2.0,1.0
Victory Heights,84.42857142857143,95.14285714285714,1.0,2.0
View Ridge,137.16666666666666,90.16666666666667,2.0,1.0
Wallingford,124.82758620689656,94.26206896551724,2.0,2.0
Wedgwood,99.53846153846153,94.38461538461539,2.0,2.0
West Queen Anne,190.65454545454546,95.50909090909092,3.0,2.0
West Woodland,120.75925925925925,95.16666666666667,2.0,2.0
Westlake,212.8,96.5,3.0,2.0
Whittier Heights,120.20833333333333,96.66666666666667,2.0,3.0
Windermere,160.5,96.375,3.0,2.0
Yesler Terrace,116.5,96.1875,2.0,2.0
